INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT
186	0	1	34	0	808000	0	0	0	0	0	0	4	30	#PSñ ki®n #GLâu Lan T¥m Bäo#P s¨ b¡t ð¥u vào lúc #G11:30#P. Ngß¶i ch½i ðÕt ðªn #Gc¤p 75#P và tâm pháp ðÕt ðªn #Gc¤p 40#P chï c¥n t± ðµi #G>=3 ngß¶i#P ðªn #GLâu Lan Kim CØu Linh (162,75)#P ð¬ tham gia.	170	5	#GLâu Lan T¥m Bäo#P s¨ b¡t ð¥u vào lúc #G11:30#P. Hãy ðªn #GLâu Lan (162,75)#P tìm #GKim CØu Linh#P báo danh là có th¬ tham gia. Ngß¶i ch½i ðÕt ðªn #Gc¤p 75#P và tâm pháp ðÕt ðªn #Gc¤p 40#P, chï c¥n t± ðµi #G>=3 ngß¶i#P thì có th¬ tham gia.	180	20	#GLâu Lan T¥m Bäo#P ðã b¡t ð¥u, hãy ðªn #GLâu Lan (162,75)#P tìm #GKim CØu Linh#P báo danh thì có th¬ tham gia	350	5	#PSñ ki®n #GLâu Lan T¥m Bäo#P ngày hôm nay s¨ kªt thúc vào lúc #G14:30#P, m÷i ngß¶i hãy kh¦n trß½ng nào!	359	1	#PSñ ki®n #GLâu Lan T¥m Bäo#P ngày hôm nay s¨ kªt thúc vào lúc #G22:00#P, cäm ½n m÷i ngß¶i tham gia. H©n g£p m÷i ngß¶i vào ngày mai !	360	-1	Lâu Lan T¥m Bäo	95
187	0	1	74	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	-1
188	0	1	76	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	-1
189	0	1	74	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	76
190	0	1	76	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	78
#191	0	2	76	0	808041	0	0	0	0	0	0	4	30	#{BHSJ_081014_01}	50	15	#{BHSJ_081014_30}	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thu th§p nhóm bang hµi	95
192	1	0	2441	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_01}	649	6	#{BCW_20080317_01}	660	60	#{BCW_20080317_02}	670	60	-1	675	5	#{BCW_20080317_03}	679	-1	Ðêm xuân liên hoan hµi	2488
193	1	0	2541	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	649	6	#{BCW_20080317_04}	660	60	#{BCW_20080317_05}	670	60	-1	675	5	#{BCW_20080317_03}	679	-1	Ðêm xuân liên hoan hµi	2588
194	1	0	2641	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	649	6	#{BCW_20080317_04}	660	60	#{BCW_20080317_05}	670	60	-1	675	5	#{BCW_20080317_03}	679	-1	Ðêm xuân liên hoan hµi	2688
195	1	0	2741	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	649	6	#{BCW_20080317_04}	660	60	#{BCW_20080317_05}	670	60	-1	675	5	#{BCW_20080317_03}	679	-1	Ðêm xuân liên hoan hµi	2788
196	1	0	2841	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	649	6	#{BCW_20080317_04}	660	60	#{BCW_20080317_05}	670	60	-1	675	5	#{BCW_20080317_03}	679	-1	Ðêm xuân liên hoan hµi	2888
197	1	0	2941	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	649	6	#{BCW_20080317_04}	660	60	#{BCW_20080317_05}	670	60	-1	675	5	#{BCW_20080317_03}	679	-1	Ðêm xuân liên hoan hµi	2988
198	1	0	3041	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	649	6	#{BCW_20080317_04}	660	60	#{BCW_20080317_05}	670	60	-1	675	5	#{BCW_20080317_06}	679	-1	Ðêm xuân liên hoan hµi	3088
199	0	1	85	0	50030	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	Boss ngày tªt	95
200	1	1	45	-1	808123	50	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Trân Long Chi Quang cüa phòng nghï ng½i KÏ Cuµc	94
201	1	0	35937	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thi®p chúc môn phái	35995
202	1	0	36037	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thi®p chúc môn phái	36095
203	1	0	36137	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thi®p chúc môn phái	36195
204	1	0	36237	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thi®p chúc môn phái	36295
