INT	INT	INT	INT	STRING	INT	STRING	STRING
101123	3	737	-1	Äo Hóa Trß¶ng Sinh Thiên Tiên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GTrác Nhî B¤t Qu¥n#Y, Trß·ng thành #GSiêu Phàm Thoát Tøc#Y, Tß ch¤t #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101124	3	837	-1	Äo Hóa Trß¶ng Sinh Thiên Th¥n Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GTrác Nhî B¤t Qu¥n#Y, Trß·ng thành #GSiêu Phàm Thoát Tøc#Y, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101130	3	548	-1	Äo Hóa Trß¶ng Sinh Nguyên Thú	-1	#ebb3e9f#cfd94b0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GTrác Nhî B¤t Qu¥n#Y, Trß·ng thành #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101131	3	648	-1	Äo Hóa Trß¶ng Sinh Nguyên Linh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y, Trß·ng thành #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101132	3	748	-1	Äo Hóa Trß¶ng Sinh Nguyên Thánh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GTrác Nhî B¤t Qu¥n#Y, Trß·ng thành #GThiên HÕ Vô Song#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101133	3	848	-1	Äo Hóa Trß¶ng Sinh Nguyên Tiên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GTrác Nhî B¤t Qu¥n#Y, Trß·ng thành, Tß ch¤t #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101134	3	948	-1	Äo Hóa Trß¶ng Sinh Nguyên Th¥n Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GTrác Nhî B¤t Qu¥n#Y, Trß·ng thành #GThiên HÕ Vô Song#Y, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101140	3	659	-1	Äo Hóa Trß¶ng Sinh Siêu Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GTrác Nhî B¤t Qu¥n#Y, Trß·ng thành #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101141	3	759	-1	Äo Hóa Trß¶ng Sinh Siêu Linh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y, Trß·ng thành #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101142	3	859	-1	Äo Hóa Trß¶ng Sinh Siêu Thánh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GTrác Nhî B¤t Qu¥n#Y, Trß·ng thành #GCh¤n C± Thß¾c Kim#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101143	3	959	-1	Äo Hóa Trß¶ng Sinh Siêu Tiên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GTrác Nhî B¤t Qu¥n#Y, Trß·ng thành #GCh¤n C± Thß¾c Kim#Y, Tß ch¤t #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101144	3	1059	-1	Äo Hóa Trß¶ng Sinh Siêu Th¥n Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GTrác Nhî B¤t Qu¥n#Y, Trß·ng thành, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101200	3	425	-1	Äo Hóa Thiên Niên Thú	-1	#ebb3e9f#cfd94b0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101201	3	525	-1	Äo Hóa Thiên Niên Linh Thú	-1	#ebb3e9f#cfd94b0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GSiêu Phàm Thoát Tøc#Y, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101202	3	625	-1	Äo Hóa Thiên Niên Thánh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101203	3	725	-1	Äo Hóa Thiên Niên Tiên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GSiêu Phàm Thoát Tøc#Y, Tß ch¤t #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101204	3	825	-1	Äo Hóa Thiên Niên Th¥n Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GSiêu Phàm Thoát Tøc#Y, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101210	3	536	-1	Äo Hóa Thiên Niên Ð¸a Thú	-1	#ebb3e9f#cfd94b0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GSiêu Phàm Thoát Tøc#Y, Trß·ng thành #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101211	3	636	-1	Äo Hóa Thiên Niên Ð¸a Linh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GSiêu Phàm Thoát Tøc#Y, Trß·ng thành, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101212	3	736	-1	Äo Hóa Thiên Niên Ð¸a Thánh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y, Trß·ng thành #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101213	3	836	-1	Äo Hóa Thiên Niên Ð¸a Tiên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GSiêu Phàm Thoát Tøc#Y, Trß·ng thành #GTrác Nhî B¤t Qu¥n#Y, Tß ch¤t #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101214	3	936	-1	Äo Hóa Thiên Niên Ð¸a Th¥n Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GSiêu Phàm Thoát Tøc#Y, Trß·ng thành #GTrác Nhî B¤t Qu¥n#Y, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101220	3	647	-1	Äo Hóa Thiên Niên Thiên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Trß·ng thành #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101221	3	747	-1	Äo Hóa Thiên Niên Thiên Linh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Trß·ng thành #GSiêu Phàm Thoát Tøc#Y, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101222	3	847	-1	Äo Hóa Thiên Niên Thiên Thánh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Trß·ng thành, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101223	3	947	-1	Äo Hóa Thiên Niên Thiên Tiên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Trß·ng thành #GSiêu Phàm Thoát Tøc#Y, Tß ch¤t #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101224	3	1047	-1	Äo Hóa Thiên Niên Thiên Th¥n Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Trß·ng thành #GSiêu Phàm Thoát Tøc#Y, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101230	3	758	-1	Äo Hóa Thiên Niên Nguyên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GSiêu Phàm Thoát Tøc#Y, Trß·ng thành #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101231	3	858	-1	Äo Hóa Thiên Niên Nguyên Linh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GSiêu Phàm Thoát Tøc#Y, Trß·ng thành #Thiên HÕ Vô Song#Y, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101232	3	958	-1	Äo Hóa Thiên Niên Nguyên Thánh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y, Trß·ng thành #Thiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101233	3	1058	-1	Äo Hóa Thiên Niên Nguyên Tiên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GSiêu Phàm Thoát Tøc#Y, Trß·ng thành, tß ch¤t #Thiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101234	3	1158	-1	Äo Hóa Thiên Niên Nguyên Th¥n Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GSiêu Phàm Thoát Tøc#Y, Trß·ng thành #Thiên HÕ Vô Song#Y, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101240	3	869	-1	Äo Hóa Thiên Niên Siêu Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GSiêu Phàm Thoát Tøc#Y, Trß·ng thành #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101241	3	969	-1	Äo Hóa Thiên Niên Siêu Linh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GSiêu Phàm Thoát Tøc#Y, Trß·ng thành #Ch¤n C± Thß¾c Kim#Y, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101242	3	1069	-1	Äo Hóa Thiên Niên Siêu Thánh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y, Trß·ng thành #Ch¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101243	3	1169	-1	Äo Hóa Thiên Niên Siêu Tiên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GSiêu Phàm Thoát Tøc#Y, Trß·ng thành #Ch¤n C± Thß¾c Kim#Y, Tß ch¤t #GThiên HÕ Vô Song?#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101244	3	1269	-1	Äo Hóa Thiên Niên Siêu Th¥n Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GSiêu Phàm Thoát Tøc#Y, Trß·ng thành, tß ch¤t #Ch¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101300	3	635	-1	Äo Hóa CØu Chuy¬nThú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101301	3	735	-1	Äo Hóa CØu Chuy¬n Linh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GThiên HÕ Vô Song#Y, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101302	3	835	-1	Äo Hóa CØu Chuy¬n Thánh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GThiên HÕ Vô Song#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101303	3	935	-1	Äo Hóa CØu Chuy¬n Tiên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Tß ch¤t #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101304	3	1035	-1	Äo Hóa CØu Chuy¬n Th¥n Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GThiên HÕ Vô Song#Y, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101310	3	746	-1	Äo Hóa CØu Chuy¬n Ð¸a Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GThiên HÕ Vô Song#Y, Trß·ng thành #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101311	3	846	-1	Äo Hóa CØu Chuy¬n Ð¸a Linh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GThiên HÕ Vô Song#Y, Trß·ng thành, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101312	3	946	-1	Äo Hóa CØu Chuy¬n Ð¸a Thánh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GThiên HÕ Vô Song#Y, Trß·ng thành #GTrác Nhî B¤t Qu¥n#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101313	3	1046	-1	Äo Hóa CØu Chuy¬n Ð¸a Tiên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Tß ch¤t #GThiên HÕ Vô Song#Y, Trß·ng thành #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101314	3	1146	-1	Äo Hóa CØu Chuy¬n Ð¸a Th¥n Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GThiên HÕ Vô Song#Y, Trß·ng thành #GTrác Nhî B¤t Qu¥n#Y, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101320	3	857	-1	Äo Hóa CØu Chuy¬n Thiên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GThiên HÕ Vô Song#Y, Trß·ng thành #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101321	3	957	-1	Äo Hóa CØu Chuy¬n Thiên Linh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GThiên HÕ Vô Song#Y, Trß·ng thành #GSiêu Phàm Thoát Tøc#Y, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101322	3	1057	-1	Äo Hóa CØu Chuy¬n Thiên Thánh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GThiên HÕ Vô Song#Y, Trß·ng thành, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101323	3	1157	-1	Äo Hóa CØu Chuy¬n Thiên Tiên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Tß ch¤t #GThiên HÕ Vô Song#Y, Trß·ng thành #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101324	3	1257	-1	Äo Hóa CØu Chuy¬n Thiên Th¥n Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GThiên HÕ Vô Song#Y, Trß·ng thành #GSiêu Phàm Thoát Tøc#Y, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101330	3	968	-1	Äo Hóa CØu Chuy¬n Nguyên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Trß·ng thành #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101331	3	1068	-1	Äo Hóa CØu Chuy¬n Nguyên Linh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Trß·ng thành #GThiên HÕ Vô Song#Y, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101332	3	1168	-1	Äo Hóa CØu Chuy¬n Nguyên Thánh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Trß·ng thành #GThiên HÕ Vô Song#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101333	3	1268	-1	Äo Hóa CØu Chuy¬n Nguyên Tiên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Trß·ng thành, Tß ch¤t #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101334	3	1368	-1	Äo Hóa CØu Chuy¬n Nguyên Th¥n Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Trß·ng thành #GThiên HÕ Vô Song#Y, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101340	3	1079	-1	Äo Hóa CØu Chuy¬n Siêu Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GThiên HÕ Vô Song#Y, Trß·ng thành #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101341	3	1179	-1	Äo Hóa CØu Chuy¬n Siêu Linh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GThiên HÕ Vô Song#Y, Trß·ng thành #GCh¤n C± Thß¾c Kim#Y, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101342	3	1279	-1	Äo Hóa CØu Chuy¬n Siêu Thánh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GThiên HÕ Vô Song#Y, Trß·ng thành #GCh¤n C± Thß¾c Kim#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101343	3	1379	-1	Äo Hóa CØu Chuy¬n Siêu Tiên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Tß ch¤t #GThiên HÕ Vô Song#Y, Trß·ng thành #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101344	3	1479	-1	Äo Hóa CØu Chuy¬n Siêu Th¥n Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GThiên HÕ Vô Song#Y, Trß·ng thành, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101400	3	845	-1	Äo Hóa H²n Ðµn Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101401	3	945	-1	Äo Hóa H²n Ðµn Linh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101402	3	1045	-1	Äo Hóa H²n ÐµnThánh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101403	3	1145	-1	Äo Hóa H²n Ðµn Tiên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Tß ch¤t #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101404	3	1245	-1	Äo Hóa H²n Ðµn Th¥n Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101410	3	956	-1	Äo Hóa H²n Ðµn Ð¸a Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Trß·ng thành #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101411	3	1056	-1	Äo Hóa H²n Ðµn Ð¸a Linh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Trß·ng thành, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101412	3	1156	-1	Äo Hóa H²n Ðµn Ð¸a Thánh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Trß·ng thành #GTrác Nhî B¤t Qu¥n#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101413	3	1256	-1	Äo Hóa H²n Ðµn Ð¸a Tiên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Trß·ng thành #GTrác Nhî B¤t Qu¥n#Y, Tß ch¤t #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101414	3	1356	-1	Äo Hóa H²n Ðµn Ð¸a Th¥n Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y, Trß·ng thành #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101420	3	1067	-1	Äo Hóa H²n Ðµn Thiên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Trß·ng thành #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101421	3	1167	-1	Äo Hóa H²n Ðµn Thiên Linh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Trß·ng thành #GSiêu Phàm Thoát Tøc#Y, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101422	3	1267	-1	Äo Hóa H²n Ðµn Thiên Thánh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Trß·ng thành, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101423	3	1367	-1	Äo Hóa H²n Ðµn Thiên Tiên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Trß·ng thành #GSiêu Phàm Thoát Tøc#Y, Tß ch¤t #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101424	3	1467	-1	Äo Hóa H²n Ðµn Thiên Th¥n Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y, Trß·ng thành #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101430	3	1178	-1	Äo Hóa H²n Ðµn Nguyên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Trß·ng thành #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101431	3	1278	-1	Äo Hóa H²n Ðµn Nguyên Linh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Trß·ng thành #GThiên HÕ Vô Song#Y, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101432	3	1378	-1	Äo Hóa H²n Ðµn Nguyên Thánh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Trß·ng thành #GThiên HÕ Vô Song#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101433	3	1478	-1	Äo Hóa H²n Ðµn Nguyên Tiên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Trß·ng thành, Tß ch¤t #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101434	3	1578	-1	Äo Hóa H²n Ðµn Nguyên Th¥n Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y, Trß·ng thành #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101440	3	1289	-1	Äo Hóa H²n Ðµn Siêu Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Trß·ng thành #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
