INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
221	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
222	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
223	2	1	2	0	0	2	1	2	0	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	2	1	0	1	2	2	0	0	0	2	2	1	0
224	1	0	2	1	1	2	0	1	1	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1
225	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
226	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
227	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
228	2	1	2	0	0	2	0	2	1	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	2	1	0	0	2	2	1	0	0	2	2	1	0
229	1	0	2	1	1	2	1	1	0	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	1	2	1	0	1	0	2	1	1	1
230	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
231	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
232	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
233	2	1	2	0	0	2	1	2	0	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	2	1	0	1	2	2	0	0	0	2	2	1	0
234	1	0	2	1	1	2	0	1	1	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1
235	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
236	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
237	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
238	2	1	2	0	0	2	0	2	1	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	2	1	0	0	2	2	1	0	0	2	2	1	0
239	1	0	2	1	1	2	1	1	0	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	1	2	1	0	1	0	2	1	1	1
240	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
241	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
242	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
243	2	1	2	0	0	2	1	2	0	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	2	1	0	1	2	2	0	0	0	2	2	1	0
244	1	0	2	1	1	2	0	1	1	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1
245	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
246	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
247	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
248	2	1	2	0	0	2	0	2	1	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	2	1	0	0	2	2	1	0	0	2	2	1	0
249	1	0	2	1	1	2	1	1	0	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	1	2	1	0	1	0	2	1	1	1
250	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
251	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	1	1	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
252	1	0	3	1	0	3	0	1	0	1	2	0	2	0	1	1	2	1	1	0	1	1	1	2	0	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	3	1	0	1	1	2	1	1	0
253	2	1	2	0	0	2	1	2	0	0	1	1	1	1	1	0	2	2	1	0	0	2	2	1	0	1	1	2	1	0	1	1	2	0	1	2	0	1	0	2	1	2	1	0	1	1	1	2	1	0	1	2	2	0	0	0	2	2	1	0
254	1	0	2	1	1	2	0	1	1	1	2	0	2	0	1	0	2	1	1	1	0	1	1	2	1	0	2	1	1	1	1	1	1	1	1	2	0	2	0	1	0	1	2	1	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1
255	2	0	2	0	1	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	0	2	1	1	1	0	2	2	1	0	0	2	2	0	1	0	2	1	1	1
